Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Series,Mileage (kmpl),Engine (CC),Power (bhp)
Hyderabad,2016,60453,Petrol,Manual,First,5.0,5.1,Volkswagen,Polo,16.47,1198.0,74.0
Pune,2013,37000,Diesel,Manual,First,5.0,4.85,Maruti,Swift,17.8,1248.0,
Mumbai,2010,69009,Petrol,Manual,Second,5.0,2.4,Ford,Figo,15.6,1196.0,70.0
Hyderabad,2013,30000,Diesel,Automatic,First,5.0,22.0,BMW,3,18.88,1995.0,184.0
Delhi,2012,70707,Diesel,Manual,First,5.0,4.28,Hyundai,Verna,22.32,1582.0,126.32
Coimbatore,2015,64677,Diesel,Manual,First,5.0,5.67,Renault,Duster,20.45,1461.0,83.8
Bangalore,2018,3000,Petrol,Automatic,First,5.0,6.2,Hyundai,Grand,18.9,1197.0,81.86
Bangalore,2013,49000,Diesel,Automatic,Second,5.0,14.49,BMW,X1,17.05,1995.0,184.0
Pune,2010,71000,Diesel,Manual,First,5.0,3.0,Maruti,Ritz,21.1,1248.0,73.9
Jaipur,2010,52000,Petrol,Manual,Second,5.0,2.25,Hyundai,i10,19.81,1086.0,68.05
Kochi,2016,35659,Diesel,Automatic,First,7.0,43.78,BMW,X5,15.97,2993.0,258.0
Kochi,2019,5377,Petrol,Manual,First,5.0,11.45,Honda,City,16.8,1497.0,116.3
Delhi,2014,65000,Diesel,Automatic,First,7.0,10.5,Mahindra,Ssangyong,11.18,2696.0,184.0
Coimbatore,2015,92708,Diesel,Manual,First,5.0,7.48,Ford,Ecosport,22.7,1498.0,89.84
Coimbatore,2010,48105,Petrol,Manual,First,5.0,3.1,Maruti,Alto,19.7,796.0,46.3
Mumbai,2011,46759,Petrol,Manual,First,5.0,2.55,Volkswagen,Polo,16.47,1198.0,74.0
Jaipur,2013,62000,Diesel,Manual,First,5.0,3.5,Volkswagen,Polo,22.07,1199.0,73.9
Kolkata,2012,35175,Diesel,Manual,First,5.0,2.59,Volkswagen,Polo,22.07,1199.0,73.9
Kolkata,2013,70000,Diesel,Manual,First,7.0,5.45,Maruti,Ertiga,20.77,1248.0,88.8
Kolkata,2017,30000,Diesel,Manual,First,5.0,6.0,Ford,EcoSport,22.77,1498.0,98.59
Kolkata,2016,66618,Diesel,Automatic,First,7.0,15.49,Toyota,Innova,11.36,2755.0,171.5
Mumbai,2010,69300,Petrol,Automatic,Second,5.0,12.5,BMW,5,10.8,2497.0,150.0
Kolkata,2017,148000,Diesel,Manual,First,5.0,4.75,Maruti,Swift,23.4,1248.0,74.0
Mumbai,2017,22000,Petrol,Manual,First,5.0,7.85,Ford,Ecosport,18.88,999.0,123.24
Ahmedabad,2013,75000,Diesel,Manual,First,5.0,6.0,Hyundai,Verna,16.8,1493.0,110.0
Mumbai,2016,43706,Petrol,Manual,First,5.0,4.0,Tata,Zest,17.57,1193.0,88.7
Mumbai,2011,42000,Diesel,Automatic,First,5.0,28.75,Audi,A7,14.4,2967.0,241.4
Pune,2012,65000,Diesel,Manual,First,5.0,2.5,Tata,Indica,22.3,1248.0,74.0
Delhi,2015,76128,Diesel,Manual,First,5.0,5.5,Maruti,Swift,26.59,1248.0,74.0
Kolkata,2010,39852,Petrol,Manual,First,5.0,1.59,Fiat,Linea,16.0,1368.0,90.0
Mumbai,2017,18673,Petrol,Manual,First,5.0,6.22,Hyundai,i20,18.6,1197.0,81.83
Kolkata,2016,11583,Petrol,Manual,First,5.0,2.75,Hyundai,EON,21.1,814.0,55.2
Chennai,2007,82000,Petrol,Manual,Second,5.0,1.35,Hyundai,Santro,,1086.0,
Pune,2017,50000,Diesel,Automatic,First,5.0,25.0,Mercedes-Benz,GLA,17.9,2143.0,136.0
Delhi,2014,77000,Petrol,Manual,First,5.0,2.8,Maruti,Celerio,23.1,998.0,67.04
Mumbai,2014,54890,Petrol,Manual,Second,5.0,2.45,Chevrolet,Beat,17.8,1199.0,76.8
Pune,2016,21000,Petrol,Automatic,First,5.0,6.35,Honda,Jazz,19.0,1199.0,88.7
Mumbai,2009,58557,Diesel,Automatic,Third,5.0,8.0,BMW,3,16.07,1995.0,181.0
Bangalore,2014,70000,Diesel,Manual,First,5.0,8.25,Renault,Duster,19.01,1461.0,108.45
Mumbai,2017,16000,Petrol,Automatic,First,5.0,5.95,Ford,Figo,17.01,1499.0,110.4
Kochi,2018,8899,Diesel,Manual,First,7.0,19.92,Toyota,Innova,13.68,2393.0,147.8
Kochi,2016,83629,Diesel,Manual,First,5.0,3.15,Chevrolet,Beat,25.44,936.0,56.3
Chennai,2014,35059,Petrol,Automatic,First,4.0,5.75,Volkswagen,Polo,17.21,1798.0,189.0
Kochi,2018,30552,Diesel,Automatic,First,7.0,32.44,Ford,Endeavour,10.91,3198.0,197.2
Kochi,2016,44875,Diesel,Automatic,Second,5.0,8.01,Hyundai,Verna,22.32,1582.0,126.32
Coimbatore,2017,25095,Petrol,Manual,First,5.0,6.48,Ford,Figo,18.16,1196.0,86.8
Jaipur,2007,59000,Petrol,Manual,First,4.0,0.75,Maruti,800,16.1,796.0,37.0
Kolkata,2014,36000,Diesel,Manual,First,5.0,5.0,Honda,City,26.0,1498.0,98.6
Mumbai,2012,37000,Diesel,Manual,First,7.0,7.75,Mahindra,XUV500,16.0,2179.0,140.0
Chennai,2010,90000,Diesel,Manual,First,5.0,2.6,Ford,Figo,20.0,1399.0,68.0
Pune,2018,17000,Petrol,Manual,First,5.0,9.2,Ford,EcoSport,17.0,1497.0,121.36
Mumbai,2015,42575,Petrol,Manual,First,5.0,5.05,Hyundai,i20,18.6,1197.0,81.83
Hyderabad,2012,131000,Diesel,Manual,First,7.0,9.6,Toyota,Innova,12.99,2494.0,100.0
Mumbai,2013,74000,Diesel,Manual,First,5.0,5.5,Renault,Duster,20.46,1461.0,83.8
Mumbai,2013,47234,Diesel,Manual,First,8.0,9.35,Toyota,Innova,12.99,2494.0,100.6
Delhi,2009,231673,Petrol,Manual,First,5.0,2.6,Honda,City,17.0,1497.0,118.0
Hyderabad,2016,10000,Petrol,Manual,First,5.0,3.5,Maruti,Alto,24.07,998.0,67.1
Kochi,2016,49389,Petrol,Manual,First,5.0,4.26,Nissan,Micra,19.49,1198.0,67.04
Chennai,2016,12000,Petrol,Automatic,Second,5.0,4.25,Maruti,Celerio,23.1,998.0,67.04
Hyderabad,2010,65000,Petrol,Manual,Second,5.0,11.75,Mercedes-Benz,New,11.7,1796.0,178.0
Chennai,2013,177000,Diesel,Manual,First,5.0,3.5,Ford,Fiesta,23.5,1498.0,88.7
Jaipur,2015,89000,Petrol,Manual,First,5.0,7.5,Hyundai,Verna,17.01,1591.0,121.3
Chennai,2009,72000,Petrol,Automatic,Third,5.0,3.25,Hyundai,i20,15.0,1396.0,100.0
Chennai,2012,49000,Petrol,Manual,First,5.0,4.9,Maruti,Swift,17.5,1298.0,85.8
Hyderabad,2014,51355,Diesel,Automatic,First,5.0,27.0,Mercedes-Benz,New,14.84,2143.0,170.0
Kochi,2017,13460,Petrol,Manual,First,5.0,8.91,Hyundai,Elite,18.6,1197.0,81.86
Kochi,2014,35642,Petrol,Automatic,First,5.0,6.69,Hyundai,Verna,17.01,1591.0,121.4
Kochi,2014,52895,Diesel,Manual,First,5.0,6.02,Chevrolet,Cruze,17.3,1998.0,163.7
Mumbai,2010,93000,Petrol,Manual,First,5.0,4.5,Toyota,Corolla,14.28,1798.0,138.03
Pune,2011,70000,Petrol,Manual,First,5.0,2.0,Maruti,A-Star,19.0,998.0,66.1
Kolkata,2012,32048,Diesel,Manual,First,5.0,2.4,Nissan,Micra,23.08,1461.0,63.1
Pune,2013,4700,Petrol,Manual,First,4.0,1.2,Tata,Nano,25.4,624.0,37.48
Delhi,2014,71800,Diesel,Manual,First,5.0,2.9,Maruti,Swift,23.4,1248.0,74.0
Coimbatore,2008,69078,Petrol,Manual,First,,40.88,Land,Rover,,,
Ahmedabad,2016,45000,Diesel,Automatic,First,5.0,27.0,Audi,Q3,17.32,1968.0,184.0
Chennai,2016,15388,Diesel,Manual,First,5.0,7.5,Honda,Amaze,25.8,1498.0,98.6
Mumbai,2004,98798,Petrol,Manual,First,5.0,1.5,Chevrolet,Optra,14.7,1599.0,104.0
Hyderabad,2016,43000,Diesel,Automatic,First,5.0,39.5,Audi,Q5,14.16,1968.0,174.3
Hyderabad,2012,85112,Diesel,Manual,First,5.0,3.39,Maruti,Ritz,23.2,1248.0,73.94
Kochi,2018,37804,Diesel,Manual,First,7.0,12.4,Mahindra,Scorpio,15.4,2179.0,120.0
Chennai,2014,45000,Diesel,Manual,First,5.0,6.85,Maruti,Ciaz,28.09,1248.0,88.5
Pune,2011,116000,Diesel,Manual,Second,5.0,5.75,Toyota,Corolla,21.43,1364.0,138.0
Chennai,2015,100073,Diesel,Manual,Second,5.0,2.0,Tata,Indica,25.0,1396.0,69.0
Jaipur,2006,165000,Petrol,Manual,First,4.0,0.9,Maruti,800,16.1,796.0,37.0
Kolkata,2015,22000,Petrol,Manual,First,5.0,3.8,Volkswagen,Polo,16.47,1198.0,74.0
Delhi,2017,9500,Petrol,Automatic,First,5.0,16.35,Hyundai,Elantra,14.62,1999.0,149.92
Hyderabad,2012,152000,Diesel,Automatic,First,7.0,16.5,Toyota,Fortuner,11.5,2982.0,169.0
Coimbatore,2019,17705,Petrol,Manual,First,5.0,8.7,Maruti,Baleno,21.4,1197.0,83.1
Mumbai,2016,12000,Petrol,Manual,First,5.0,6.1,Maruti,Baleno,21.4,1197.0,83.1
Hyderabad,2013,51000,Diesel,Automatic,First,5.0,21.94,Mini,Cooper,23.8,1998.0,112.0
Chennai,2009,42000,Diesel,Automatic,Second,5.0,22.0,Mercedes-Benz,S,13.0,2987.0,210.0
Delhi,2015,51000,Petrol,Manual,First,5.0,2.65,Maruti,Alto,20.92,998.0,67.1
Kochi,2017,42527,Petrol,Manual,First,5.0,5.27,Maruti,Swift,20.4,1197.0,81.8
Kolkata,2014,45000,Diesel,Manual,First,5.0,2.48,Chevrolet,Sail,22.1,1248.0,74.0
Kolkata,2011,70000,Diesel,Manual,First,8.0,6.0,Toyota,Innova,12.8,2494.0,102.0
Mumbai,2009,92000,Diesel,Manual,First,7.0,8.9,Toyota,Fortuner,11.5,2982.0,171.0
Hyderabad,2012,57156,Diesel,Automatic,Second,5.0,18.0,BMW,3,18.88,1995.0,184.0
Coimbatore,2016,53211,Petrol,Manual,First,5.0,11.64,Skoda,Octavia,16.8,1395.0,138.02
Kolkata,2019,80000,Diesel,Manual,First,7.0,8.99,Toyota,Fortuner,11.5,2982.0,171.0
Bangalore,2009,74000,Diesel,Automatic,First,5.0,5.25,Volkswagen,Jetta,15.5,1896.0,105.0
Kolkata,2011,37000,Diesel,Manual,First,5.0,2.95,Hyundai,i20,23.0,1396.0,90.0
Mumbai,2013,64000,Diesel,Manual,Second,5.0,2.65,Tata,Manza,21.02,1248.0,88.76
Pune,2013,57197,Petrol,Manual,First,5.0,4.0,Volkswagen,Vento,15.04,1598.0,103.6
Chennai,2016,55000,Diesel,Automatic,First,5.0,12.5,Hyundai,Creta,17.6,1582.0,126.2
Mumbai,2014,33000,Petrol,Manual,First,5.0,3.25,Maruti,Ritz,21.1,1197.0,85.8
Delhi,2008,70000,Petrol,Manual,First,5.0,4.0,Honda,CR-V,13.1,1997.0,141.1
Delhi,2012,75000,Diesel,Manual,Second,7.0,6.25,Mahindra,XUV500,15.1,2179.0,140.0
Jaipur,2016,58095,Diesel,Manual,First,5.0,5.8,Volkswagen,Ameo,21.66,1498.0,108.62
Kolkata,2015,7445,Petrol,Manual,First,5.0,5.0,Tata,Zest,17.57,1193.0,88.7
Kochi,2016,17652,Diesel,Automatic,First,5.0,58.73,Jaguar,XJ,12.9,2993.0,270.88
Kochi,2018,28321,Petrol,Automatic,First,5.0,17.49,Toyota,Corolla,14.28,1798.0,138.03
Pune,2011,69000,Petrol,Manual,Second,5.0,1.95,Maruti,A-Star,19.0,998.0,66.1
Mumbai,2007,80000,Petrol,Automatic,First,5.0,3.0,Honda,Accord,11.1,2354.0,142.0
Delhi,2014,42365,Petrol,Manual,First,5.0,5.5,Hyundai,i20,17.0,1197.0,80.0
Delhi,2013,123000,Diesel,Automatic,First,7.0,16.5,Toyota,Fortuner,12.55,2982.0,168.5
Mumbai,2011,40000,Petrol,Automatic,Second,5.0,14.5,Mercedes-Benz,New,11.74,1796.0,186.0
Hyderabad,2016,30112,Diesel,Manual,First,5.0,7.79,Maruti,Baleno,27.39,1248.0,74.0
Kochi,2017,43775,Diesel,Manual,First,7.0,8.27,Maruti,Ertiga,20.77,1248.0,88.76
Kochi,2019,26013,Diesel,Automatic,First,5.0,97.07,Land,Rover,12.65,2993.0,255.0
Mumbai,2012,56000,Petrol,Manual,First,5.0,2.15,Chevrolet,Optra,12.9,1598.0,102.5
Hyderabad,2008,95000,Petrol,Automatic,Second,5.0,3.0,Honda,Civic,12.9,1799.0,130.0
Coimbatore,2014,41089,Diesel,Automatic,First,5.0,28.79,BMW,X3,16.09,1995.0,184.0
Mumbai,2011,41988,Diesel,Automatic,First,5.0,5.45,Skoda,Laura,20.0,1968.0,138.1
Delhi,2013,72486,Diesel,Manual,First,5.0,3.95,Maruti,Swift,23.4,1248.0,74.0
Pune,2013,92000,Diesel,Automatic,First,5.0,16.0,Volvo,V40,23.3,1984.0,150.0
Delhi,2013,40000,Petrol,Manual,First,5.0,4.25,Maruti,Swift,17.5,1298.0,85.8
Bangalore,2014,56000,Diesel,Automatic,First,5.0,34.5,Land,Rover,12.7,2179.0,187.7
Mumbai,2008,125000,Petrol,Automatic,Third,5.0,2.6,Honda,Accord,11.7,2354.0,177.6
Kochi,2017,29219,Diesel,Manual,First,8.0,13.48,Toyota,Innova,12.99,2494.0,100.6
Hyderabad,2018,39927,Diesel,Manual,First,7.0,32.1,Toyota,Fortuner,12.55,2982.0,168.5
Kochi,2018,38593,Petrol,Manual,First,5.0,6.17,Honda,Jazz,18.7,1199.0,88.7
Kolkata,2015,32000,Petrol,Manual,First,5.0,5.5,Honda,City,17.0,1497.0,118.0
Hyderabad,2017,28226,Diesel,Automatic,First,5.0,9.15,Maruti,Dzire,28.4,1248.0,73.75
Pune,2014,95000,Diesel,Manual,First,5.0,4.5,Nissan,Sunny,21.64,1461.0,84.8
Chennai,2014,194000,Diesel,Manual,First,8.0,10.5,Toyota,Innova,12.99,2494.0,100.6
Coimbatore,2016,14821,Petrol,Manual,First,5.0,5.37,Honda,Brio,19.4,1198.0,86.8
Bangalore,2012,52000,Petrol,Manual,First,5.0,5.45,Volkswagen,Vento,15.04,1598.0,103.6
Mumbai,2016,33000,Diesel,Manual,First,7.0,9.25,Mahindra,XUV500,16.0,2179.0,140.0
Chennai,2016,29200,Diesel,Manual,First,5.0,7.7,Ford,EcoSport,23.0,1498.0,98.96
Hyderabad,2012,99754,Diesel,Manual,First,5.0,7.99,Skoda,Yeti,17.72,1968.0,108.49
Chennai,2012,49000,Petrol,Manual,First,5.0,3.0,Hyundai,i10,20.36,1197.0,78.9
Hyderabad,2005,299322,Diesel,Manual,First,8.0,4.0,Toyota,Innova,12.8,2494.0,102.0
Coimbatore,2018,38310,Diesel,Manual,First,5.0,6.69,Tata,Zest,20.65,1248.0,88.7
Delhi,2014,56000,Diesel,Manual,First,5.0,4.25,Maruti,Swift,22.9,1248.0,74.0
Kolkata,2017,31300,Diesel,Automatic,First,5.0,10.5,Skoda,Rapid,21.72,1498.0,108.4
Coimbatore,2019,11241,Diesel,Manual,First,8.0,22.55,Toyota,Innova,13.68,2393.0,147.8
Pune,2014,48000,Petrol,Manual,Second,5.0,5.2,Hyundai,Verna,17.01,1591.0,121.3
Coimbatore,2019,23882,Petrol,Manual,First,5.0,11.87,Honda,City,17.4,1497.0,117.3
Hyderabad,2014,65000,Diesel,Manual,First,5.0,6.99,Honda,City,26.0,1498.0,98.6
Jaipur,2011,50000,Diesel,Manual,First,5.0,5.0,Volkswagen,Vento,20.54,1598.0,103.6
Chennai,2014,25000,Diesel,Automatic,First,5.0,44.0,Audi,Q5,12.19,2967.0,236.0
Chennai,2015,21000,Petrol,Manual,First,5.0,2.79,Maruti,Alto,22.74,796.0,47.3
Pune,2012,148000,Diesel,Manual,Second,5.0,2.9,Tata,Manza,21.12,1248.0,88.8
Delhi,2016,68000,Petrol,Manual,First,5.0,9.85,Hyundai,Creta,15.29,1591.0,121.3
Bangalore,2014,52000,Diesel,Automatic,First,7.0,49.0,Mercedes-Benz,GL-Class,12.0,2987.0,224.0
Jaipur,2016,19000,Diesel,Manual,First,6.0,9.25,Mahindra,Thar,16.55,2498.0,105.0
Mumbai,2011,74000,Diesel,Manual,Second,5.0,3.75,Hyundai,Verna,22.32,1582.0,126.3
Coimbatore,2017,30279,Diesel,Manual,First,5.0,7.29,Ford,Aspire,26.1,1498.0,99.0
Mumbai,2016,20000,Diesel,Automatic,First,4.0,23.5,Mini,Cooper,20.7,1496.0,113.98
Hyderabad,2013,34834,Petrol,Manual,First,5.0,2.6,Maruti,Omni,14.0,796.0,35.0
Pune,2015,90000,Diesel,Manual,Second,5.0,3.1,Mahindra,Verito,21.03,1461.0,65.0
Coimbatore,2016,38730,Diesel,Automatic,First,5.0,29.98,Mercedes-Benz,E-Class,14.21,2143.0,203.0
Kochi,2016,57390,Diesel,Manual,First,5.0,6.73,Renault,Duster,19.01,1461.0,108.45
Kolkata,2016,100000,Diesel,Manual,First,5.0,3.5,Maruti,Swift,23.4,1248.0,74.0
Kolkata,2011,50000,Petrol,Manual,First,5.0,2.35,Volkswagen,Polo,16.47,1198.0,73.9
Coimbatore,2017,64961,Diesel,Manual,First,7.0,16.13,Mahindra,XUV500,16.0,2179.0,140.0
Coimbatore,2014,72465,Petrol,Manual,First,5.0,5.9,Volkswagen,Polo,16.47,1198.0,74.0
Hyderabad,2012,68776,Petrol,Manual,First,5.0,3.9,Maruti,Ritz,21.1,1197.0,85.8
Pune,2005,150000,Petrol,Manual,First,5.0,1.5,Chevrolet,Optra,14.7,1598.0,
Delhi,2012,68000,Diesel,Manual,First,7.0,6.95,Toyota,Innova,12.8,2494.0,102.0
Delhi,2015,33000,Diesel,Manual,First,5.0,7.0,Honda,City,26.0,1498.0,98.6
Coimbatore,2017,22389,Petrol,Manual,First,5.0,7.23,Volkswagen,Ameo,17.0,1198.0,73.75
Mumbai,2012,90000,Diesel,Manual,First,5.0,3.81,Maruti,SX4,21.5,1248.0,88.8
Chennai,2012,42000,Petrol,Manual,Third,5.0,4.5,Maruti,Swift,18.6,1197.0,85.8
Pune,2017,38767,Diesel,Manual,First,5.0,12.6,Hyundai,Creta,19.67,1582.0,126.2
Bangalore,2015,21000,Diesel,Automatic,First,7.0,48.0,Audi,Q7,12.07,2967.0,241.4
Coimbatore,2010,59136,Petrol,Manual,First,5.0,2.96,Maruti,Alto,19.7,796.0,46.3
Kolkata,2014,36000,Diesel,Manual,First,5.0,3.25,Honda,Amaze,25.8,1498.0,98.6
Chennai,2011,95000,Diesel,Automatic,Second,5.0,8.5,Volkswagen,Passat,18.33,1968.0,167.7
Mumbai,2013,51000,Diesel,Automatic,First,5.0,8.75,Hyundai,Elantra,19.5,1582.0,126.24
Kochi,2011,36411,Petrol,Manual,First,5.0,3.08,Maruti,Wagon,18.9,998.0,67.1
Mumbai,2017,40000,Diesel,Automatic,First,7.0,41.5,Land,Rover,12.81,1999.0,148.31
Pune,2016,27300,Petrol,Manual,First,5.0,7.0,Honda,City,17.8,1497.0,117.3
Kochi,2011,29813,Petrol,Automatic,Second,5.0,11.5,Mercedes-Benz,New,14.74,1991.0,181.03
Pune,2011,71000,Petrol,Manual,First,5.0,2.6,Maruti,Wagon,20.51,998.0,67.04
Kolkata,2014,32000,Diesel,Manual,First,5.0,4.3,Hyundai,Verna,22.32,1582.0,126.3
Mumbai,2017,19234,CNG,Manual,First,7.0,8.35,Maruti,Ertiga,17.5,1373.0,80.46
Jaipur,2017,50510,Diesel,Automatic,First,5.0,24.9,Volkswagen,Tiguan,17.06,1968.0,141.0
Pune,2011,102000,Diesel,Automatic,First,5.0,13.75,BMW,X1,15.06,1995.0,177.0
Kolkata,2014,42277,Diesel,Manual,First,5.0,3.85,Hyundai,Grand,24.0,1186.0,73.97
Mumbai,2014,46000,Diesel,Automatic,First,5.0,23.25,Mercedes-Benz,E-Class,13.0,2143.0,201.1
Chennai,2012,35000,Diesel,Manual,First,7.0,7.0,Mahindra,Bolero,13.6,2523.0,
Bangalore,2015,50000,Petrol,Manual,First,5.0,5.75,Hyundai,Grand,18.9,1197.0,82.0
Mumbai,2008,62000,Petrol,Manual,Second,5.0,1.65,Hyundai,i10,20.36,1197.0,78.9
Mumbai,2012,78000,Diesel,Manual,First,5.0,6.5,Volkswagen,Jetta,19.33,1968.0,138.1
Chennai,2011,79000,Diesel,Manual,First,5.0,7.5,Skoda,Yeti,17.67,1968.0,138.08
Kochi,2019,6773,Diesel,Automatic,First,7.0,72.94,Audi,Q7,14.75,2967.0,245.0
Chennai,2010,135000,Diesel,Manual,Second,7.0,11.0,Toyota,Fortuner,11.5,2982.0,171.0
Kochi,2013,36716,Petrol,Manual,First,5.0,3.02,Maruti,Wagon,18.9,1061.0,67.0
Coimbatore,2013,65060,Petrol,Manual,First,5.0,3.32,Hyundai,EON,21.1,814.0,55.2
Delhi,2013,33000,Petrol,Manual,First,5.0,3.24,Honda,Brio,19.4,1198.0,86.8
Kolkata,2015,11110,Petrol,Manual,First,5.0,2.35,Maruti,Alto,22.74,796.0,47.3
Jaipur,2013,63000,Diesel,Manual,First,7.0,5.5,Mahindra,Bolero,15.96,2523.0,62.1
Mumbai,2015,27030,Petrol,Manual,First,5.0,6.75,Honda,City,17.8,1497.0,117.3
Mumbai,2015,19600,Petrol,Manual,First,5.0,6.15,Skoda,Rapid,15.0,1598.0,103.52
Pune,2016,27755,Petrol,Manual,First,5.0,5.45,Maruti,Swift,22.0,1197.0,81.8
Hyderabad,2013,20000,Petrol,Manual,Second,5.0,2.3,Hyundai,EON,21.1,814.0,55.2
Kochi,2015,24782,Petrol,Manual,First,5.0,6.21,Maruti,Swift,20.85,1197.0,83.14
Coimbatore,2014,47303,Petrol,Automatic,First,5.0,5.21,Nissan,Micra,19.34,1198.0,76.0
Delhi,2008,71000,Petrol,Automatic,First,7.0,11.99,Audi,Q7,8.3,4134.0,250.0
Pune,2010,135000,Diesel,Manual,First,5.0,3.1,Maruti,Swift,17.8,1248.0,75.0
Jaipur,2017,1000,Diesel,Manual,First,5.0,7.5,Tata,Xenon,13.49,2179.0,138.03
Kolkata,2016,29000,Diesel,Manual,First,5.0,4.0,Volkswagen,Polo,20.14,1498.0,88.8
Kochi,2016,36367,Petrol,Manual,First,5.0,7.73,Honda,City,17.8,1497.0,117.3
Bangalore,2015,38000,Petrol,Manual,First,5.0,7.8,Honda,City,17.4,1497.0,117.3
Hyderabad,2011,83969,Petrol,Manual,First,4.0,1.3,Maruti,800,16.1,796.0,37.0
Jaipur,2014,82621,Diesel,Manual,First,5.0,4.42,Volkswagen,Polo,20.14,1498.0,88.8
Pune,2009,89000,Diesel,Automatic,First,7.0,4.0,Chevrolet,Captiva,12.5,1991.0,147.9
Kolkata,2016,54000,Diesel,Manual,First,7.0,13.0,Mahindra,XUV500,16.0,2179.0,140.0
Kochi,2015,61691,Diesel,Manual,First,5.0,5.38,Honda,Amaze,25.8,1498.0,98.6
Chennai,2011,32200,Petrol,Manual,Second,5.0,3.25,Hyundai,i20,17.0,1197.0,80.0
Jaipur,2016,68630,Petrol,Automatic,First,5.0,3.87,Maruti,Wagon,20.51,998.0,67.0
Mumbai,2014,61000,Diesel,Automatic,Second,5.0,8.25,Volkswagen,Jetta,16.96,1968.0,138.03
Mumbai,2018,32644,Petrol,Manual,First,5.0,9.28,Maruti,Ciaz,20.73,1373.0,91.1
Delhi,2012,85000,Diesel,Automatic,First,7.0,6.25,Mahindra,Scorpio,11.79,2179.0,120.0
Mumbai,2008,75000,Petrol,Manual,Second,5.0,1.15,Chevrolet,Aveo,15.26,1150.0,74.9
Kochi,2016,40347,Petrol,Manual,First,5.0,7.8,Maruti,Ciaz,20.73,1373.0,91.2
Hyderabad,2012,60788,Diesel,Manual,First,5.0,4.5,Hyundai,i20,23.0,1396.0,90.0
Kochi,2018,18664,Petrol,Manual,First,5.0,7.56,Honda,Jazz,18.7,1199.0,88.7
Coimbatore,2017,57847,Diesel,Manual,First,7.0,16.08,Mahindra,XUV500,16.0,2179.0,140.0
Bangalore,2012,52237,Petrol,Manual,First,5.0,4.5,Hyundai,i20,17.0,1197.0,80.0
Chennai,2012,128000,Diesel,Manual,First,5.0,5.0,Hyundai,Verna,22.32,1582.0,126.32
Delhi,2011,54000,Petrol,Manual,First,5.0,2.2,Hyundai,i10,19.81,1086.0,68.05
Bangalore,2014,49800,Petrol,Automatic,First,5.0,4.0,Maruti,Celerio,23.1,998.0,67.04
Kolkata,2012,98000,Diesel,Manual,First,5.0,2.51,Skoda,Fabia,20.86,1199.0,73.9
Delhi,2015,60095,Diesel,Manual,First,5.0,4.75,Maruti,Swift,25.2,1248.0,74.0
Pune,2008,68000,Petrol,Manual,Second,5.0,2.0,Hyundai,i10,16.0,1086.0,66.7
Jaipur,2010,81402,Petrol,Manual,Second,5.0,2.1,Hyundai,i10,20.36,1197.0,78.9
Mumbai,2013,38000,Petrol,Automatic,First,5.0,6.25,Ford,Ecosport,16.5,1499.0,110.0
Kochi,2011,92239,Diesel,Automatic,Second,5.0,10.6,Mercedes-Benz,E-Class,11.5,2987.0,210.0
Ahmedabad,2017,49224,Diesel,Manual,First,5.0,6.0,Maruti,Swift,25.2,1248.0,74.0
Jaipur,2004,12000,Petrol,Manual,Second,4.0,0.45,Maruti,800,16.1,796.0,37.0
Pune,2010,54898,Petrol,Manual,Third,5.0,2.5,Maruti,Swift,16.1,1298.0,88.2
Mumbai,2018,2500,Petrol,Manual,First,5.0,12.75,Hyundai,Creta,15.29,1591.0,121.3
Kochi,2017,32838,Diesel,Automatic,First,5.0,30.29,BMW,X1,17.05,1995.0,190.0
Hyderabad,2006,27076,Petrol,Manual,First,5.0,1.6,Ford,Ikon,13.8,1299.0,70.0
Kochi,2017,75445,Diesel,Manual,First,5.0,7.54,Ford,Ecosport,22.7,1498.0,89.84
Kochi,2015,46601,Petrol,Manual,First,5.0,6.84,Maruti,Ciaz,20.73,1373.0,91.1
Kolkata,2012,72000,Diesel,Automatic,First,5.0,6.0,Volkswagen,Passat,18.33,1968.0,167.7
Pune,2017,27000,Diesel,Manual,First,5.0,8.0,Honda,Jazz,27.3,1498.0,98.6
Coimbatore,2016,68193,Diesel,Automatic,First,5.0,24.74,Audi,A4,17.11,1968.0,174.33
Kochi,2017,34429,Diesel,Manual,First,5.0,5.5,Hyundai,Grand,24.0,1120.0,70.0
Delhi,2013,46000,Diesel,Automatic,First,7.0,36.0,Mercedes-Benz,GL-Class,12.0,2987.0,224.0
Coimbatore,2013,80544,Diesel,Manual,First,7.0,11.79,Toyota,Innova,12.99,2494.0,100.6
Jaipur,2011,42000,Petrol,Manual,Second,5.0,3.0,Nissan,Sunny,16.95,1498.0,97.7
Bangalore,2011,94821,Diesel,Automatic,Second,5.0,6.75,Skoda,Laura,20.0,1968.0,138.1
Jaipur,2006,100000,Petrol,Manual,First,5.0,1.4,Chevrolet,Aveo,14.49,1399.0,92.7
Mumbai,2014,57000,Diesel,Manual,First,7.0,5.75,Honda,Mobilio,24.2,1498.0,98.6
Hyderabad,2010,79894,Diesel,Manual,First,5.0,3.4,Maruti,Ritz,21.1,1248.0,73.9
Coimbatore,2011,44748,Petrol,Manual,Second,5.0,4.89,Volkswagen,Polo,16.47,1198.0,73.9
